Sample_Name	Axis1	Axis2	Axis3	Axis4	Axis5	Inversion	Chromosome
FAB_5X_LAMn_M_EXPOS_DWARF_187	-93.2529333319286	-52.0646458573093	24.4024185729282	3.89155817400207	-29.9760823824756	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_188	-95.0074628497958	-55.6407479148117	27.432713595936	2.02552783394487	-23.2208994472893	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_60	-95.0104648279731	-58.0375570085102	27.9746117167499	3.1946588647471	-20.0542352987871	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_DWARF_106	-90.0571118853259	-50.1864216025176	25.2601357671744	0.202875788018809	-3.1014788210818	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_DWARF_112	157.167877861321	-54.5842042989573	-75.6397306012545	8.92013966690121	-3.45080170591368	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_DWARF_42	156.304529890761	-52.5860165787733	-75.629287842973	9.94009236080895	0.880616846290174	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_DWARF_47	161.114442890241	-55.170321249583	-80.0624967144071	12.0319586011835	-2.41056340349832	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_DWARF_97	-88.1145644436486	-52.5905068615196	26.399458796217	-2.43423828724824	1.47772199028731	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_103	-92.7024629437738	-50.9923543011154	25.5200909278675	-2.08275630331742	3.78790047186297	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_108	-91.161937563928	-50.3817355369704	25.3546777328044	-1.93944781826864	2.61823113170477	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_132	155.698571908026	-50.8315064249773	-70.0346514212722	5.25492147413365	-5.0229880689849	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_45	163.137512567949	-55.3820450195503	-78.9570034655556	7.97631481982423	14.4270936861611	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_50	157.430001250123	-53.7834362923018	-73.9889835739702	9.27140868076004	-6.84313930197499	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_91	-90.6551964062372	-53.1500734799611	28.4883673212714	-4.63178321480245	18.6500700632196	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_98	-93.9270220871866	-50.1662378725879	24.3357080024728	-0.826368628685537	2.9940015180782	Inv_3.1	LG3
FAB_5X_LAMn_M_SHELT_LARGE_99	157.798895622611	-53.7771416621349	-76.5905956959218	7.34036949490724	-2.32221981789828	Inv_3.1	LG3
