Sample_Name	Group	Inversion
FAB_5X_LAMn_M_SHELT_DWARF_112	2	Inv_3.1
FAB_5X_LAMn_M_SHELT_DWARF_42	2	Inv_3.1
FAB_5X_LAMn_M_SHELT_DWARF_47	2	Inv_3.1
FAB_5X_LAMn_M_SHELT_DWARF_97	3	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_103	3	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_108	3	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_132	2	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_45	2	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_50	2	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_91	3	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_98	3	Inv_3.1
FAB_5X_LAMn_M_SHELT_LARGE_99	2	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_194	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_196	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_201	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_202	2	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_68	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_69	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_76	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_77	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_80	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_82	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_83	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_DWARF_84	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_193	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_200	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_206	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_213	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_214	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_71	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_73	1	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_83	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_85	3	Inv_3.1
FAB_5X_LAMn_M_TRANSI_LARGE_87	3	Inv_3.1
